lat,lon,landcover
62.51023735,11.01345475,Water
61.84408096,11.01420867,ForestNaturalAreas
61.24403127,11.02035561,ForestNaturalAreas
62.32662838,11.02210656,AgriculturalArea
60.31131205,11.02622811,Water
61.02796645,11.02799292,ForestNaturalAreas
59.95473731,11.03606299,ForestNaturalAreas
61.25500277,11.03618509,ForestNaturalAreas
59.42122242,11.03916158,Water
60.75842198,11.04728358,ForestNaturalAreas
61.81102185,11.05251308,Water
61.07032274,11.05617583,AgriculturalArea
62.15315137,11.06005468,Water
61.59537646,11.06058955,ForestNaturalAreas
60.25293199,11.06720942,ArtificialSurfaces
59.98121642,11.07283089,ForestNaturalAreas
60.65229309,11.09726727,ForestNaturalAreas
61.68402895,11.09779745,ForestNaturalAreas
61.93648581,11.09799034,ForestNaturalAreas
60.99371699,11.11584824,Water
59.51971532,11.12896098,ForestNaturalAreas
59.10603352,11.13203084,Water
62.25995114,11.16048429,AgriculturalArea
61.77452831,11.1721827,Water
60.53653728,11.18373368,Water
61.34056265,11.18451255,ForestNaturalAreas
61.30401666,11.18669349,AgriculturalArea
62.55160339,11.19723409,Water
62.86385976,11.19962394,Water
62.62396332,11.2007184,Water
62.55939039,11.20891147,Water
59.68742919,11.21081589,Water
58.91966549,11.23321676,Water
59.22283039,11.23937237,ForestNaturalAreas
62.55939666,11.24827052,Water
60.5431144,11.26068236,Water
59.41083899,11.26712617,ForestNaturalAreas
59.40932805,11.27414964,ForestNaturalAreas
59.53574097,11.28081911,Water
60.2726644,11.28083641,ForestNaturalAreas
61.720657,11.29202952,ForestNaturalAreas
60.69562262,11.29389611,ForestNaturalAreas
58.67586874,11.29668351,Water
62.87664503,11.3001089,Water
62.02229516,11.30190628,ForestNaturalAreas
59.70948486,11.30253573,ForestNaturalAreas
61.42971238,11.30986578,ForestNaturalAreas
61.20846947,11.31034786,AgriculturalArea
62.5078278,11.32058123,Water
59.65961411,11.32286129,Water
62.81058959,11.32503892,Water
62.38861546,11.32833441,ArtificialSurfaces
60.65588391,11.3314558,Water
59.23714013,11.33354221,Water
60.10231678,11.33876531,Water
60.80058244,11.34484575,ForestNaturalAreas
59.27356674,11.36231635,AgriculturalArea
59.58939135,11.36347903,Water
62.49721808,11.36540061,Water
62.93901763,11.36771637,Water
61.141404,11.37352996,ForestNaturalAreas
62.78111205,11.37856799,Water
60.47397293,11.3787506,ForestNaturalAreas
60.48845418,11.3804156,ForestNaturalAreas
62.53734514,11.40203801,Water
61.38536172,11.40444068,ForestNaturalAreas
62.98759347,11.41417037,Water
61.06850882,11.42784605,Water
61.51386567,11.42842079,Wetlands
59.62662278,11.42866462,Water
59.136545,11.43135332,ForestNaturalAreas
60.04236073,11.43336868,Water
59.70898742,11.43413906,Water
62.49981486,11.4412956,ForestNaturalAreas
60.17484292,11.44525081,ForestNaturalAreas
62.54686336,11.44533538,Water
61.98314483,11.44643943,ForestNaturalAreas
59.69932675,11.4540137,Water
62.62601371,11.46806799,Water
59.82585314,11.47325533,Water
61.27845191,11.48070501,Water
59.84766387,11.48088194,AgriculturalArea
